Naive,32,0.774100,0.673670,1.075811
Naive,48,0.859848,0.721805,1.136424
Naive,64,0.743478,0.597270,0.987570
Naive,128,0.746249,0.596975,0.978276
Naive,256,0.746074,0.599914,0.995477
Naive,512,0.761592,0.616710,1.011084
Naive,1024,0.749161,0.599153,1.033222
Transpose,32,0.584520,0.554386,0.760258
Transpose,48,0.700313,0.627752,0.836809
Transpose,64,0.584617,0.532285,0.738647
Transpose,128,0.573041,0.531621,0.739317
Transpose,256,0.581667,0.533813,0.793229
Transpose,512,0.576885,0.534401,0.746893
Transpose,1024,0.639191,0.564822,0.773291
Shmem,32,0.629527,0.564814,0.762700
Shmem,48,0.732642,0.659976,0.864405
Shmem,64,0.632077,0.557574,0.778578
Shmem,128,0.628488,0.554852,0.764959
Shmem,256,0.617144,0.556886,0.758912
Shmem,512,0.607651,0.554852,0.758600
Shmem,1024,0.611779,0.559473,0.766159
Naive,32,0.772152,0.670655,1.040492
Naive,48,0.857601,0.769075,1.128381
Naive,64,0.743451,0.599953,0.944357
Naive,128,0.742101,0.598703,0.957624
Naive,256,0.742726,0.598129,0.989476
Naive,512,0.746132,0.614253,0.988505
Naive,1024,0.727715,0.602086,0.950479
Transpose,32,0.679513,0.607044,0.817764
Transpose,48,0.753416,0.681597,0.888662
Transpose,64,0.661177,0.586871,0.796020
Transpose,128,0.638068,0.586680,0.788512
Transpose,256,0.641958,0.587872,0.825131
Transpose,512,0.637875,0.586890,0.793184
Transpose,1024,0.687937,0.620888,0.787194
Shmem,32,0.640849,0.578151,0.780243
Shmem,48,0.746161,0.673135,0.874577
Shmem,64,0.634278,0.568245,0.805518
Shmem,128,0.591071,0.568906,0.769398
Shmem,256,0.630966,0.568441,0.770647
Shmem,512,0.635521,0.573716,0.773567
Shmem,1024,0.621439,0.568870,0.770933
All_GPU,32,0.359701,0.328721,0.381406
All_GPU,48,0.450668,0.425014,0.425464
All_GPU,64,0.344777,0.318892,0.319308
All_GPU,128,0.343674,0.318046,0.318600
All_GPU,256,0.343762,0.318191,0.318555
All_GPU,512,0.345944,0.320011,0.320453
All_GPU,1024,0.354220,0.322043,0.382820
All_GPU_All_Reduction,32,0.579589,0.553730,0.554406
All_GPU_All_Reduction,48,0.600591,0.575013,0.575474
All_GPU_All_Reduction,64,0.458842,0.432735,0.436611
All_GPU_All_Reduction,128,0.406067,0.380474,0.381558
All_GPU_All_Reduction,256,0.389604,0.357612,0.414438
All_GPU_All_Reduction,512,0.378850,0.353233,0.354947
All_GPU_All_Reduction,1024,0.386964,0.360327,0.364252
All_GPU_Delta_Reduction,32,0.363273,0.338043,0.338507
All_GPU_Delta_Reduction,48,0.450567,0.425238,0.425791
All_GPU_Delta_Reduction,64,0.345757,0.319907,0.320372
All_GPU_Delta_Reduction,128,0.350085,0.319293,0.367879
All_GPU_Delta_Reduction,256,0.344877,0.319626,0.320096
All_GPU_Delta_Reduction,512,0.346465,0.322512,0.322888
All_GPU_Delta_Reduction,1024,0.349994,0.324606,0.325140
